ID Number,S/N,Road Name,Length,Paved_Good,Paved_Fair,Paved_Poor,Gravel_Good,Gravel_Fair,Gravel_Poor,Earth_Good,Earth_Fair,Earth_Poor,Region,District
1,1,Malalua - Nduruma - Bwawani,20.3,0,0,0,15,0.5,0,0,6,0,Arusha,Arusha District Council
2,2,Sokon Ii - Sasi - Ambureni,5,0,0,0,0,0,0,1,2.5,1.5,Arusha,Arusha District Council
3,3,Tpri - Likamba,14.4,0,0,0,0,0,0,0,0,0,Arusha,Arusha District Council
4,4,Mianzini - Timbolo,8.5,0,0,0,2.8,1.275,0,2.125,2.3,0,Arusha,Arusha District Council
5,5,Sanawari - Oldonyosapuk ,10,0,0,0,5.5,0,0,2,1.5,1,Arusha,Arusha District Council
6,6,Sekei - Olgilai - Kimandolo,6.4,0.6,0,0,1,0.4,0,1,4,0,Arusha,Arusha District Council
9,7,Ilkiding'a - Sambasha,26,0,0,0,0,0,0,5,13,8,Arusha,Arusha District Council
10,8,Lengijave - Kisimiri,20,0,0,0,0,0,0,3,10,7,Arusha,Arusha District Council
11,9,Sokon Ii - Oldadai - Midawe,10,0,0,0,0,0,2,3,3,2,Arusha,Arusha District Council
12,10,Arusha Airport - Ngaramtoni,8,0,2,1,0,1,4,0,0,0,Arusha,Arusha District Council
13,11,Likamba - Imbibia,10,0,0,0,0,0,0,0,7,3,Arusha,Arusha District Council
14,12,Kisongo - Musa,13,0,0,0,11,0,0,1,1,0,Arusha,Arusha District Council
15,13,Gomba Estate - Msitu Wa Mbogo,19,0,0,0,9,1,0,4,3,2,Arusha,Arusha District Council
16,14,Olturoto - Mringa,6.1,0,0,0,0,2,0,2,2.1,0,Arusha,Arusha District Council
21,15,Oljoro - Ujamaa Village,4.2,0,0,0,2,0,0,0,0,2.2,Arusha,Arusha District Council
22,16,Mbuyuni - Mirongoine,4.9,0,0,0,0,0,0,0,0,0,Arusha,Arusha District Council
23,17,Kisongo - Lemugur,8.4,0,0,0,0,0,0,0,0,3,Arusha,Arusha District Council
24,18,Kilimamoto - Mwandet,6.4,0,0,0,0,5,0,1,0,0.4,Arusha,Arusha District Council
25,19,Oldonyosambu - Gigas,7.8,0,0,0,0,2,0,5.2,0,0.6,Arusha,Arusha District Council
26,20,Ndiyogi - Olkokola ,6.6,0,0,0,0,5,0,0,0,12,Arusha,Arusha District Council
27,21,Radio Habari Maalum - Olturumet Hospital,2.8,0,0,0,3,0,0,0,0,5.4,Arusha,Arusha District Council
28,22,Ngaramtoni - Selian,4,0,0,0,0,0,0,0,0,0,Arusha,Arusha District Council
29,23,Ngaramtoni - Sambasha,7.8,0,0,0,2.34,1.56,0,2.34,2.34,1.56,Arusha,Arusha District Council
30,24,Sanawari - Ilboru,1.5,0,0,0,0,1.5,0,0,0,0,Arusha,Arusha District Council
33,25,Sanawari - Kioga,6,0,0,0,0,0,0,0,0,6,Arusha,Arusha District Council
34,26,Lengijave - Mwandet,21,0,0,0,0,0,0,7,7,7,Arusha,Arusha District Council
35,27,Olgilai - Ng'iresi,6,0,0,0,0,0,0,2,2,2,Arusha,Arusha District Council
36,28,Lengijave - Engalaoni,26,0,0,0,0,2,0,10,10,4,Arusha,Arusha District Council
37,29,Olgilai - Sokon Ii - Kimandolu ,5.4,0,0,0,0,0,0,0,3.4,2,Arusha,Arusha District Council
38,30,Odonyosambu - Kikosi Cha Rada,3,0,0,0,3,0,0,0,0,0,Arusha,Arusha District Council
39,31,Arusha Meat - Olosiva,6,0,0,0,0,4,0,2,0,0,Arusha,Arusha District Council
40,32,Silent Inn - Freedom Hotel,4,0,0,0,0,2,0,2,0,0,Arusha,Arusha District Council
41,33,Oldonyowas - Forest,3.5,0,0,0,0,0,0,0,0,3.5,Arusha,Arusha District Council
42,34,Kilimamoto - Olturumet Hospital,3.7,0,0,0,0,0,0,0,0,3.7,Arusha,Arusha District Council
43,35,Kilimamoto - Kisongo,15.8,0,0,0,0,0,0,2,3,10.8,Arusha,Arusha District Council
52,1,Ambureni-nkoanrua,3.4,0,0,0,0,0,0,0,0,3.4,Arusha,Arumeru District Council
